id,区分,タスク,いつ,何をしているか,なぜ_誰のため,いまの担当,やり方,ツール,所要分,属人度,手で同じことができるか,習得,判断,期限,出典,メモ
WM-01,毎週,朝礼スライド統合,月曜朝〜定例会前,各STの提出を1本のスライドにする,定例会を滞りなく始める。メンバー全員,倉持→次廣へ移管中,手作業,PowerPoint / NextCloud,,高,できる,次廣習得中,未決,,2026-08-22棚卸し,提出が5分前・30秒前になる。締切案は夕方まで（未確定）
WM-02,毎週,ビジタースライド生成,月曜午前目安,参加者CSVからビジター紹介スライドを作る,ビジター・ゲストの紹介。ビジホス／会全体,倉持,自動＋確認,genslide / NキャスCSV,,中,できる（手で作れるが遅い）,倉持のまま,未決,,2026-06-03一部引継ぎ,倉持独自ツール。工藤案は手作業回帰
WM-03,毎週,台本スプレッドシート更新,定例会前,司会台本・BOR番号・氏名プルダウンを当回用に整える,司会・BOR担当・スライド送り,倉持,手作業＋数式,Googleスプレッドシート / IMPORTRANGE,,中,できる,倉持のまま,未決,,2026-08-22棚卸し,倉持判断では誰でも編集できる現状が最適
WM-04,毎週,前日リハーサル確認,月曜夜,LTSTでスライドを通し、非表示・抜けを見る,発表者・会の品質,倉持＋LTST,手作業,PowerPoint / Zoom,,中,できる,次廣習得中,未決,近日,2026-08-22棚卸し,いまは初回編集の場になりがち。体制はLTST協議
WM-05,当日,Zoomホスト操作,定例会当日,ログイン、名前変更、共同ホスト、進行補助,会全体,倉持,手作業,Zoom（チャプターGmail）, ,高,できる,次廣習得中,未決,,2026-08-22棚卸し,グローバル管理下で一部アプリ不可
WM-06,当日,レコーディング開始,定例会開始時,録画を確実に開始する,アーカイブ・動画切り出しの前提,倉持,手作業,Zoom,,低,できる,次廣習得中,未決,,2026-08-22棚卸し,開始忘れが重要チェック。過去に28時間録画の例
WM-07,当日,スポットライト,定例会中,話者を画面に固定する,オンラインでも顔が見える定例会,次廣（6月から主担当）,手作業,Zoom,,低,できる,次廣担当,未決,,2026-06-03一部引継ぎ,
WM-08,当日,朝礼スライド送り,朝礼パート,台本・セリフに合わせてページを送る,朝礼の進行,倉持,手作業,PowerPoint / Zoom,,中,できるが経験依存,次廣習得中,未決,次回定例会,2026-08-22棚卸し,次廣が次回定例会で実担当
WM-09,当日,定例会スライド送り,本編,Edu・MP・ネットワークリーダー等をセリフ合わせで送る,会の進行,倉持／望月,手作業,PowerPoint / Zoom,,中,できるが経験依存,次廣習得中,未決,,2026-08-22棚卸し,先回りすることもある
WM-10,当日,ブレイクアウト手動割り当て,朝礼〜BOR,約30室を事前作成し、台本番号を見て一人ずつ入れる。ビジターは2回入れ替え,1to1の場。メンバー・ビジター,軍司＋倉持バックアップ,手作業,Zoom / 台本,,高,できる（時間がかかる）,分担先へ,未決,,2026-08-22棚卸し,スライド担当は兼務できない（工藤さん会）
WM-11,当日（BOD等）,ブレイクアウトリザベーション,BOD・人数が多い回,パターンを保存し、本番直前にZoomへ一括反映,大人数回の時間短縮,倉持,アプリ,個人Zoom＋自作アプリ,,高,手でもできるがBODでは非現実的,倉持のまま,未決,11期開始前,2026-08-22棚卸し,チャプターZoomではアプリ不可。軍司さんレクチャー残
WM-12,当日,画面共有の予備,MP当日,重いZoomで発表者共有が落ちたとき、WMがファイルを代わりに共有する,メインプレゼンが止まらない,WMチーム,手作業,事前DLしたPPT,,中,できる,次廣習得中,未決,,2026-08-22棚卸し,工藤さん時代の型。4GB級PC＋バーチャル背景が負荷
